sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,size,size_quantity,size_extra_price,colors,tags,youtube,policy,meta_tag,meta_description,product_type,affiliate_link
123343561,Electronic,Television,LCD TV,Test CSV Product,https://geniusocean.com/demo/kingcommerce/minimal/assets/images/1553323541minimal%20(16).jpg,This is product Description,20,25,10,"X,3XL","22,23","5,8","#000000,#9c1515,#24f015,#050bc2,#d1900c","CLOTHS,FASHION,WOMEN FASHION,DRESSES,MENSWEAR",https://www.youtube.com/watch?v=7hx4gdlfamo,Test policy,,,affiliate,https://www.amazon.com/adidas-Girls-Sleeveless-Toddler-Little/dp/B07MTJL7ZT/ref=sr_1_1?keywords=dress&qid=1565068717&s=gateway&sr=8-1
123343562,Building Materials,Cement,Ghacem,Ghacem 42.5r,,The cement 42.5R are mostly used in the event that requred comressive strength of concrete at 28 days and also for block making,48,47,3000,50g,50kg,50kg,#000000,Cement,,,Hardware,Cement,affiliate,
123343563,Building Materials,Cement,Dangote,Dangote 42.5R,,The cement 42.5R are mostly used in the event that requred comressive strength of concrete at 28 days and also for block making,50,47,4000,50kg,50kg,50kg,#000000,Cement,,,Hardware,Cement,affiliate,
123343564,Building Materials,Cement,Ghacem,Ghacem 32.5R,,"The cement 32.5R is indicated for application where a high strength is not required at ambient tempreture of (10-15*C) and standard thickness, Plastering work",47,46,2000,50kg,50kg,50gk,#000000,Cement,,,Hardware,Cement,affiliate,
123343565,Building Materials,Iron Rods,Iron Rod,8mm Iron Rod,,The materials used for this iron rods is very strong and durable ,2700,3200,100000,8mm,300pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343566,Building Materials,Iron Rods,Iron Rod,10mm Iron Rod,,The materials used for this iron rods is very strong and durable ,4445,4850,20000,10mm,170pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343567,Building Materials,Iron Rods,Iron Rod,11.5mm Iron Rod,,The materials used for this iron rods is very strong and durable ,5150,5300,30000,11.5mm,150pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343568,Building Materials,Iron Rods,Iron Rod,12mm Iron Rod,,The materials used for this iron rods is very strong and durable ,5150,5300,30000,12mm,125pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343569,Building Materials,Iron Rods,Iron Rod,14mm Iron Rod,,The materials used for this iron rods is very strong and durable ,5150,5300,30000,14mm,95pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343570,Building Materials,Iron Rods,Iron Rod,16mm Iron Rod,,The materials used for this iron rods is very strong and durable ,4150,4500,30000,16mm,70pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343571,Building Materials,Iron Rods,Iron Rod,18mm Iron Rod,,The materials used for this iron rods is very strong and durable ,5250,5400,30000,18mm,58pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343572,Building Materials,Iron Rods,Iron Rod,20mm Iron Rod,,The materials used for this iron rods is very strong and durable ,5150,5300,30000,20mm,44pcs,1ton,#9c1515,Iron Rod,,,Hardware,Iron Rod,affiliate,
123343573,Electronics,Television,LED TV,TCL 32 TV,,"This television comes with an HD, HDR, inbuilt satellite decoder, USB Playback, slim design, nature light engine",900,999,100,32 inch,1pcs,4.5kg,#24f015,TV,,,Electronics,TV,affiliate,
123343574,Electronics,Television,LED TV,TCL 32 TV,,"This is a smart android TV Full HD, Netflix Certified,You TUB,Google play store Chromecast built-in Bluetooth",1200,1300,100,32 inch,1pcs,4.5kg,#24f015,TV,,,Electronics,TV,affiliate,
123343575,Electronics,Television,LED TV,TCL 40 TV,,"This television comes with an HD,HDR, inbuilt satellite decoder, USB Playback, slim design, nature light engine",1550,1700,100,40 inch,1pcs,5.0kg,#24f015,TV,,,Electronics,TV,affiliate,
123343576,Electronics,Television,LED TV,TCL 40 TV,,"This is a Smart android TV Full HD, Netflix Certified,You TUB,Google play store Chromecast built-in Bluetooth",1690,1800,100,40 inch,1pcs,5.0kg,#24f015,TV,,,Electronics,TV,affiliate,
123343577,Electronics,Television,LED TV,TCL 43 TV,,"This is a Smart android TV Full HD, Netflix Certified,You TUB,Google play store Chromecast built-in Bluetooth",2640,2844,100,43 inch,1pcs,5.2kg,#24f015,TV,,,Electronics,TV,affiliate,
123343578,Electronics,Television,LED TV,TCL 55 TV,,"This is a 4K Smart Android TV Full HD, Netflix Certified,You TUB,Google play store Chromecast built-in Bluetooth",3750,4020,50,55 inch,1pcs,6.5kg,#24f015,TV,,,Electronics,TV,affiliate,
123343579,Electronics,Television,LED TV,TCL 65 TV,,"This is a 4K Smart Android TV Full HD, Netflix Certified,You TUB,Google play store Chromecast built-in Bluetooth",5850,6480,30,65 inch,1pcs,6.7kg,#24f015,TV,,,Electronics,TV,affiliate,
123343580,Electricals,Air Conditioner,Split AC,1.5 HP,,"Energy efficient,(3stare rating) Auto power protection Quite Opperation LED Display Fashinable Design, Golden Fin ",1699,1899,150,1.5HP,2box,24kg,#050bc2,AC,,,Electronics,AC,affiliate,
